Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,BHEL,EQ,204.15,206.0,206.1,197.0,197.7,197.75,198.92,6370835,126726326050000.0,70207,3151364,0.4947
2015-10-07,BHEL,EQ,197.75,197.95,203.25,197.4,202.5,202.75,200.41,3893731,78035479065000.0,37222,929899,0.23879999999999998
2015-10-08,BHEL,EQ,202.75,204.0,206.2,200.75,203.4,203.8,203.72,3965196,80779062085000.0,36542,885835,0.22340000000000002
2015-10-09,BHEL,EQ,203.8,206.0,206.5,201.2,201.6,201.9,203.6,3618968,73682997550000.0,29968,1127909,0.31170000000000003
2015-10-12,BHEL,EQ,201.9,203.0,208.75,201.6,205.5,205.5,205.86,4177751,86002106675000.0,37221,1067876,0.2556
2015-10-13,BHEL,EQ,205.5,207.95,209.95,206.15,208.15,208.45,208.16,4037762,84048390920000.0,38856,1202262,0.2978
2015-10-14,BHEL,EQ,208.45,209.0,209.45,204.3,204.8,205.3,207.0,1880758,38931813040000.0,20154,509942,0.2711
2015-10-15,BHEL,EQ,205.3,205.95,212.3,205.5,212.1,211.8,209.91,4456686,93548307920000.0,46256,1490619,0.3345
2015-10-16,BHEL,EQ,211.8,212.9,214.0,209.8,213.65,213.5,212.41,3025481,64263944610000.0,28436,875971,0.2895
2015-10-19,BHEL,EQ,213.5,213.0,215.95,211.2,214.25,214.6,214.22,3248793,69595980635000.0,48429,1466955,0.4515
2015-10-20,BHEL,EQ,214.6,215.6,216.45,211.4,211.9,212.55,214.02,1796516,38448565735000.0,19265,482346,0.2685
2015-10-21,BHEL,EQ,212.55,212.6,213.7,207.65,208.5,208.45,210.65,8827076,185938342290000.0,33556,6740375,0.7636000000000001
2015-10-23,BHEL,EQ,208.45,211.0,211.65,208.2,209.5,209.95,209.79,2615813,54876014195000.01,22998,1189004,0.4545
2015-10-26,BHEL,EQ,209.95,211.4,219.1,209.5,217.1,217.55,216.19,7005258,151448038320000.0,62324,2161667,0.3086
2015-10-27,BHEL,EQ,217.55,217.3,219.7,213.35,214.3,214.4,215.57,2943781,63458456525000.0,43598,724686,0.2462
2015-10-28,BHEL,EQ,214.4,212.45,216.8,211.4,212.1,212.4,213.84,2721719,58202584995000.01,32931,931152,0.3421
2015-10-29,BHEL,EQ,212.4,212.2,213.5,202.25,203.0,203.25,204.86,6968737,142758634320000.0,64415,3289745,0.4721
2015-10-30,BHEL,EQ,203.25,203.5,204.4,197.8,198.0,198.85,200.61,4121752,82686891415000.0,42462,1333766,0.3236
2015-11-02,BHEL,EQ,198.85,198.25,202.75,196.95,199.8,200.2,199.87,2898427,57931812115000.0,44960,967639,0.33380000000000004
2015-11-03,BHEL,EQ,200.2,202.0,202.2,198.5,201.15,201.05,200.64,2899420,58174902629999.99,24991,1276320,0.44020000000000004
2015-11-04,BHEL,EQ,201.05,202.5,203.2,200.0,201.0,201.05,201.58,2796906,56380869200000.0,25190,1123857,0.4018
2015-11-05,BHEL,EQ,201.05,201.25,201.5,192.6,193.2,194.4,197.47,2601698,51376904355000.0,32678,1010562,0.3884
2015-11-06,BHEL,EQ,194.4,194.0,196.8,184.1,192.0,191.45,190.65,9932336,189355328115000.0,91045,1442031,0.1452
2015-11-09,BHEL,EQ,191.45,186.0,190.0,182.75,183.05,184.55,185.5,8047683,149287933870000.0,69274,4367707,0.5427000000000001
2015-11-10,BHEL,EQ,184.55,183.35,183.95,177.4,178.4,178.4,179.63,7064770,126905641870000.0,51649,3393818,0.4804
2015-11-11,BHEL,EQ,178.4,180.15,180.65,178.55,180.25,179.95,179.81,572914,10301547585000.0,8338,243967,0.4258
2015-11-13,BHEL,EQ,179.95,178.95,181.1,176.65,177.4,177.95,178.63,3810041,68059266404999.99,63582,1680739,0.4411
2015-11-16,BHEL,EQ,177.95,177.1,180.8,176.0,178.2,178.45,178.8,3811951,68159367835000.0,34304,1275432,0.3346
2015-11-17,BHEL,EQ,178.45,179.6,181.5,177.8,178.65,178.8,179.62,3060596,54975779290000.0,25359,887048,0.2898
2015-11-18,BHEL,EQ,178.8,178.7,180.4,174.05,174.3,174.7,177.33,2983367,52903895240000.0,32295,837037,0.2806
2015-11-19,BHEL,EQ,174.7,176.0,176.4,173.8,175.8,175.8,175.44,2352140,41265467155000.0,29176,574646,0.2443
2015-11-20,BHEL,EQ,175.8,175.0,178.8,174.45,176.0,176.25,176.84,2820944,49884520565000.0,30916,633248,0.2245
2015-11-23,BHEL,EQ,176.25,177.5,179.0,174.6,174.8,175.2,176.91,2334389,41297215495000.0,24214,725302,0.31070000000000003
2015-11-24,BHEL,EQ,175.2,175.0,176.8,173.25,173.6,173.85,174.95,2008580,35140595695000.0,22449,568548,0.2831
2015-11-26,BHEL,EQ,173.85,174.8,175.8,172.8,173.35,173.35,173.91,3619419,62945838870000.01,33960,1954387,0.54
2015-11-27,BHEL,EQ,173.35,173.85,177.65,173.85,176.1,176.0,175.97,2664200,46882810130000.0,25416,858821,0.3224
2015-11-30,BHEL,EQ,176.0,176.8,178.3,174.65,175.0,175.05,175.86,3778355,66446528520000.01,39060,2317711,0.6134000000000001
2015-12-01,BHEL,EQ,175.05,176.0,176.95,174.6,175.5,175.45,175.75,1789751,31455643214999.996,31692,594458,0.3321
2015-12-02,BHEL,EQ,175.45,176.4,176.4,172.65,173.0,173.1,173.82,2208875,38395425005000.0,35789,705895,0.3196
2015-12-03,BHEL,EQ,173.1,171.95,171.95,168.1,168.1,168.65,169.78,4862973,82563432380000.0,54393,2153238,0.4428
2015-12-04,BHEL,EQ,168.65,166.95,170.45,166.2,168.4,168.35,168.67,3558320,60017424679999.99,39898,848310,0.2384
2015-12-07,BHEL,EQ,168.35,169.5,170.5,167.9,168.95,168.8,168.87,1894143,31986787714999.996,23277,537696,0.2839
2015-12-08,BHEL,EQ,168.8,168.0,168.5,164.15,165.05,164.7,165.47,2700891,44691716815000.0,25360,1093016,0.4047
2015-12-09,BHEL,EQ,164.7,166.0,171.2,166.0,169.05,168.9,169.04,6532654,110426250484999.98,56798,1373846,0.21030000000000001
2015-12-10,BHEL,EQ,168.9,169.5,170.55,165.65,167.6,167.55,167.59,2664715,44656758295000.0,34581,795632,0.2986
2015-12-11,BHEL,EQ,167.55,167.9,168.4,164.25,165.8,165.5,165.5,3181173,52649442785000.0,35517,1352035,0.425
